iords,mass,x,y,z,vx,vy,vz,rho,temp,metals
98026,212084.13,-148.45,135.41,101.90,99.04,-106.11,-82.54,2.72,4.70,-5.17
101076,210604.05,2.36,9.99,-0.37,-186.97,8.25,16.02,6.74,4.07,-1.54
101237,167673.42,3.67,10.29,-0.03,-158.42,81.06,-26.43,6.53,4.11,-1.54
101326,212084.13,-191.45,140.80,104.04,102.27,-83.18,-72.35,2.50,4.57,-6.18
101331,212084.13,-194.47,157.94,52.72,113.44,-76.49,-40.40,2.39,4.73,-5.95
101374,212084.13,-152.41,138.62,92.25,102.63,-97.72,-83.83,2.73,4.72,-6.25
102471,212084.13,-147.64,139.68,116.18,106.04,-93.25,-64.80,2.63,4.70,-5.40
102768,212084.13,-132.96,127.88,102.57,79.25,-110.40,-65.34,2.76,4.94,-5.24
105439,212084.13,-135.70,97.64,123.53,133.93,-72.46,-74.07,2.66,4.87,-6.10
105490,212084.13,-188.13,125.86,111.01,106.66,-79.15,-76.13,2.54,4.58,-6.20
105496,212084.13,-169.20,109.85,105.71,119.76,-75.92,-79.99,2.57,4.60,-5.50
105502,212084.13,-187.61,121.84,133.09,109.07,-68.79,-65.32,2.56,4.60,-5.47
105661,212084.13,-207.09,122.06,118.63,107.17,-69.71,-70.69,2.52,4.63,-5.19
105701,212084.13,-126.81,123.19,126.67,115.02,-95.64,-75.51,2.68,4.75,-6.40
105737,212084.13,-151.98,139.60,63.52,73.14,-110.86,-46.16,2.86,4.96,-6.21
105748,212084.13,-181.45,154.47,59.20,112.61,-87.44,-54.80,2.48,4.52,-5.90
105762,212084.13,-172.45,106.19,103.85,121.84,-77.89,-85.13,2.55,4.62,-5.49
105798,212084.13,-168.35,110.73,95.46,118.56,-79.60,-76.75,2.58,4.59,-5.61
105964,212084.13,-142.30,115.69,113.21,119.54,-95.68,-78.05,2.54,4.67,-6.88
105999,212084.13,-128.98,105.72,123.09,121.21,-88.61,-81.04,2.57,4.67,-7.42
106006,212084.13,-166.96,141.83,128.11,111.60,-82.79,-67.11,2.55,4.76,-7.15
106033,212084.14,-141.20,107.67,104.61,124.77,-90.06,-83.67,2.59,4.69,-6.91
106049,212084.13,-129.04,107.24,109.12,118.49,-96.91,-77.84,2.65,4.75,-7.04
106056,212084.13,-151.57,132.90,147.89,113.62,-81.96,-63.89,2.51,4.65,-7.28
106098,212084.13,-151.24,123.26,124.03,115.39,-88.86,-77.64,2.49,4.72,-6.90
106140,212084.13,-147.68,118.44,130.19,120.77,-87.37,-74.75,2.47,4.68,-6.34
106190,212084.13,-155.40,132.63,136.85,114.04,-80.42,-67.15,2.49,4.63,-7.35
106267,212084.13,-130.88,118.20,130.31,117.70,-90.89,-73.99,2.61,4.71,-7.05
106300,212084.13,-143.05,135.14,128.21,119.18,-92.32,-67.54,2.57,4.71,-6.33
106334,212084.13,-135.49,145.79,161.04,89.79,-79.83,-68.77,2.58,4.75,-5.29
106540,212084.13,-153.57,164.86,89.07,98.53,-106.46,-53.55,2.62,4.73,-5.53
106629,212084.13,-212.99,87.56,-128.97,84.22,-94.05,-55.20,2.13,4.74,-5.07
106817,212084.13,-171.43,165.98,38.23,64.48,-116.98,-30.34,2.50,4.98,-5.25
108802,109309.30,0.26,-10.12,-0.23,206.99,-25.59,3.40,6.77,4.06,-1.57
108981,181608.20,7.23,7.59,0.39,-143.07,122.71,7.80,7.18,4.03,-1.68
110543,212084.13,-161.28,137.35,131.45,111.14,-88.21,-66.30,2.50,4.86,-7.55
110578,212084.13,-175.13,142.27,121.09,106.27,-84.41,-70.02,2.55,4.81,-6.45
110708,212084.13,-122.77,119.99,140.92,107.73,-98.55,-78.20,2.70,4.77,-5.64
110751,212084.13,-142.65,138.80,151.27,110.06,-82.10,-64.18,2.55,4.65,-6.11
111006,212084.13,-147.96,137.79,79.85,99.05,-110.26,-65.06,2.81,4.87,-5.40
111215,212084.13,-197.71,97.36,-152.31,88.42,-93.86,-38.28,2.22,4.70,-5.31
113422,215925.49,-8.42,-7.08,-2.16,133.95,-113.93,-2.53,5.91,4.05,-1.91
113904,130959.04,3.14,10.80,-1.38,-145.25,12.10,2.15,6.50,4.08,-1.56
114111,212084.13,-186.37,116.68,127.11,113.64,-61.31,-67.46,2.56,4.76,-4.87
114117,212084.13,-185.62,112.10,117.35,115.09,-68.86,-72.38,2.54,4.82,-4.57
114148,212084.13,-182.56,110.79,89.72,111.68,-70.66,-68.98,2.56,4.86,-4.52
114281,214106.37,-170.35,102.05,142.43,130.97,-62.61,-42.55,2.45,4.91,-3.91
117137,212774.43,10.47,1.05,1.46,-137.49,153.79,-120.71,6.06,4.07,-2.38
119282,212084.13,-167.12,93.14,152.83,130.71,-61.63,-50.36,2.28,4.81,-5.17
119292,212084.13,-181.45,95.16,156.88,124.48,-56.05,-30.50,2.21,4.97,-5.15
120058,215793.86,-0.06,-10.14,0.41,248.24,-46.60,-33.23,7.21,4.02,-1.74
120825,212084.13,-183.97,142.50,75.61,116.97,-78.12,-60.70,2.35,4.77,-4.40
121646,212084.13,-170.59,50.44,190.55,112.48,-63.96,-32.71,2.39,4.93,-5.36
121880,212084.13,-194.32,104.52,122.71,127.46,-59.89,-60.47,2.37,4.93,-4.75
124381,212084.13,-162.22,96.87,141.99,126.66,-67.16,-55.83,2.46,4.91,-5.07
124570,212084.13,-199.30,109.25,105.14,107.22,-69.01,-74.39,2.37,4.87,-4.50
129177,212084.14,-142.75,97.70,139.11,128.10,-72.35,-63.84,2.44,4.86,-5.90
129208,212084.13,-178.44,119.76,150.17,108.61,-76.51,-59.79,2.43,4.85,-5.26
132663,212084.13,-185.53,165.10,36.32,89.83,-105.09,-48.53,2.56,4.65,-6.08
132933,212084.13,-178.26,179.15,51.07,93.03,-101.77,-49.84,2.57,4.61,-6.49
133187,212084.13,-172.03,160.78,99.83,106.28,-93.50,-68.25,2.65,4.60,-6.38
133404,212084.13,-173.41,157.93,77.32,108.68,-95.24,-64.81,2.45,4.48,-6.03
133435,212084.13,-156.94,114.94,127.53,120.24,-81.37,-76.22,2.47,4.80,-5.28
135490,212890.35,11.79,0.77,3.23,-108.51,131.86,-37.24,5.67,4.10,-2.38
136560,212084.13,-158.29,147.95,52.83,106.75,-113.24,-41.98,2.85,4.88,-6.62
136783,212084.13,-146.04,155.09,90.49,83.54,-100.02,-58.98,2.78,4.83,-5.87
140777,212084.13,-98.49,97.66,196.47,93.77,-83.45,-67.66,2.58,4.87,-5.24
140800,212084.13,-117.52,113.89,164.73,95.62,-96.78,-77.35,2.65,4.78,-5.97
141024,212084.13,-112.90,36.67,240.50,94.95,-75.43,-55.76,2.16,4.81,-4.80
142541,173003.20,32.46,-18.33,49.56,-15.11,89.83,-173.26,5.38,4.00,-2.58
144232,212084.13,-131.01,113.13,178.69,117.27,-80.68,-67.78,2.36,4.71,-5.44
147503,221855.62,7.24,6.96,0.48,-162.95,108.86,-0.02,6.89,4.06,-1.70
149345,84207.16,6.95,10.40,5.56,-85.67,74.20,-15.31,5.40,4.09,-1.80
151002,212084.13,-129.66,129.62,127.96,105.45,-99.02,-69.39,2.65,4.70,-5.32
153167,212805.33,28.94,-7.56,19.48,-88.19,20.04,-198.81,5.42,4.04,-2.62
154251,212084.13,-156.67,151.64,121.15,96.19,-88.30,-63.76,2.61,4.83,-5.07
156958,71082.98,4.65,9.67,-0.58,-176.97,42.21,16.45,7.08,4.05,-1.55
157927,212084.13,-151.61,118.45,184.01,108.75,-66.01,-65.43,2.57,4.69,-5.58
158050,212084.13,-152.75,175.60,108.58,91.29,-87.26,-50.10,2.55,4.80,-5.09
158214,212084.13,-123.01,74.57,216.26,105.42,-77.44,-78.71,2.18,4.75,-4.62
159888,109340.69,3.58,9.96,0.77,-173.20,36.07,21.25,6.31,4.09,-1.51
160277,70614.44,2.13,10.17,-1.84,-170.59,21.24,19.31,6.94,4.02,-1.53
160681,212123.14,-236.65,-25.76,-118.69,53.09,-29.98,36.75,2.40,4.97,-2.76
161448,212084.13,-135.18,109.03,203.24,104.31,-74.58,-68.72,2.41,4.72,-5.01
161475,99984.31,-4.00,-10.06,0.18,197.38,-54.73,-43.72,5.85,4.09,-1.65
165355,157999.12,1.14,10.13,-1.44,-223.13,11.56,0.10,7.02,4.05,-1.50
165865,212084.13,-131.75,43.34,211.02,113.18,-75.50,-69.59,2.29,4.69,-4.45
166500,212084.13,-104.20,81.36,195.45,105.35,-80.34,-84.26,2.37,4.70,-5.12
167810,197533.50,-6.08,-9.63,-0.57,182.89,-66.40,-25.00,6.24,4.06,-1.54
169162,212084.13,-205.70,141.37,13.51,90.91,-52.23,-54.72,2.44,4.99,-4.55
169411,212084.13,-171.17,130.54,115.73,106.82,-86.58,-72.36,2.60,4.67,-6.37
170435,212084.13,-169.79,150.79,112.34,103.10,-96.04,-71.43,2.66,4.70,-5.27
170767,212084.13,-170.94,157.76,114.75,101.10,-89.51,-73.08,2.72,4.77,-4.98
172510,195438.34,-5.25,-8.56,-1.66,181.16,-80.92,29.98,6.63,4.03,-1.49
173499,77565.34,3.07,3.59,4.75,-88.97,45.87,-28.07,5.63,4.10,-1.60
173924,212084.13,-176.82,113.83,91.71,119.85,-75.73,-77.09,2.54,4.63,-5.05
174137,212084.13,-193.58,142.17,114.24,102.62,-83.68,-73.16,2.51,4.59,-6.70
