iords,mass,x,y,z,vx,vy,vz,rho,temp,metals
96929.000,212084.128,-106.109,158.890,-67.750,123.325,-39.302,-15.452,1242.665,141148.547,0.000
97065.000,212084.128,-470.087,196.474,-72.940,88.119,25.212,41.706,340.993,33769.707,0.000
97092.000,212084.128,-333.086,184.349,-26.719,105.461,-4.514,26.693,540.598,63756.859,0.000
97131.000,212084.128,-67.954,291.162,22.416,149.105,-27.115,31.258,15884.338,18400.605,0.001
97247.000,212114.053,-538.053,180.826,-68.349,80.476,26.030,41.720,251.846,19255.562,0.000
97274.000,212084.128,-452.584,172.168,-38.195,90.463,13.100,39.934,351.291,30725.580,0.000
97360.000,212456.955,-560.984,144.106,-45.242,87.495,18.429,42.460,258.841,21485.877,0.000
97393.000,212084.128,-487.414,189.180,-42.508,89.932,29.169,38.817,444.591,25117.148,0.000
97401.000,212084.128,-434.409,195.814,-35.096,91.991,5.055,38.488,545.837,39535.816,0.000
97416.000,212084.128,-667.915,87.063,-85.887,65.911,12.047,37.747,146.276,22067.266,0.000
97458.000,212340.002,-556.914,75.025,-42.435,89.349,17.251,47.621,176.257,25810.658,0.000
97494.000,212084.128,-650.176,90.059,-88.005,71.774,14.219,42.422,150.579,22627.744,0.000
97513.000,212107.325,-480.435,229.890,-51.869,105.588,17.493,52.278,226711.725,9929.911,0.000
97544.000,212084.128,-603.708,138.018,-40.873,81.745,12.994,40.585,193.317,21311.389,0.000
97842.000,212084.128,-581.945,183.937,-4.331,78.663,27.333,45.426,166.623,22270.148,0.000
99902.000,212350.239,-24.501,59.927,7.203,-25.125,-13.524,-50.631,12922.913,622987.188,0.003
99917.000,212209.440,211.122,-139.064,-157.232,20.242,16.838,5.961,482.998,241455.344,0.000
99929.000,214063.115,11.733,-10.027,-0.848,18.508,64.281,58.973,186677.166,674327.000,0.004
99950.000,212850.865,74.420,-108.490,-14.148,4.972,44.400,0.098,2545.278,264786.906,0.002
100024.000,212584.353,-42.973,-18.152,-27.638,52.463,-45.450,17.921,17261.463,473294.656,0.004
100116.000,212305.807,-26.443,65.398,2.000,-15.929,-26.766,-42.287,12768.011,547500.188,0.004
100117.000,212343.704,-61.679,52.829,4.385,-24.546,-35.852,-17.049,8931.411,439276.406,0.004
100341.000,212591.509,12.147,26.681,23.910,-77.572,29.570,10.376,24703.777,651942.000,0.005
100345.000,212465.065,51.048,5.348,8.654,-12.043,27.298,37.411,16232.297,634751.188,0.006
100346.000,212715.619,495.459,-545.776,77.819,-4.550,-17.156,-21.199,40.948,111631.586,0.007
100365.000,212191.175,70.766,10.591,1.597,-30.133,13.192,41.395,8822.090,584806.688,0.004
100375.000,212996.169,21.334,-4.310,12.012,8.642,81.196,30.241,64369.078,566688.562,0.004
100417.000,212198.649,-22.127,-60.489,-22.041,-10.556,14.694,22.625,7149.658,488013.844,0.004
100423.000,230075.410,2.335,-38.048,46.021,-26.105,10.563,30.053,10952.652,554376.125,0.006
100456.000,212084.446,148.937,10.158,117.824,-60.983,-5.238,19.790,733.021,218439.672,0.001
100616.000,212229.901,-100.319,-767.598,438.781,16.867,26.781,-18.017,10.603,23164.170,0.004
100680.000,212085.413,10.175,36.682,101.601,-27.111,9.428,3.330,4390.380,261321.688,0.002
100776.000,213573.929,-5.061,11.010,-4.196,-10.368,-12.387,-11.285,100330.883,996392.812,0.005
